id web app
1 18.3071118147419 17.0023669324578
2 16.9672282262381 18.1974871460402
3 18.718958659057 27.9143515869622
4 16.1677921681821 18.7989215817171
5 17.4488548897663 17.2266673097995
6 17.0641738246271 16.6373659869014
7 17.3324603865357 16.5314857632473
8 17.2911747973587 16.2148938735393
9 17.1465746364882 18.2134239745145
10 17.1191331046628 15.3249508667802
11 17.9051185165539 17.6601885760637
12 14.3942306174388 16.3557225296305
13 18.4466605901062 17.8168372722885
14 17.1627270548655 15.2207076677674
15 17.155283886633 15.8283951501732
16 17.3039962326749 17.4066757007993
17 16.1849242059199 20.5915175816109
18 19.9095193687237 16.4573274195711
19 17.4368506784477 16.3045196178353
20 16.5962316186661 17.099919081903
